Name of the Project,Link to the project
Japan's Official Development Assistance (ODA): Rolling Plan for Nepal (PDF),
(JPP) Follow-up project on JICA Partnership Program on Promoting Quality Education through Community based School Management (Save the Children Follow-up Project/Japan),'https://www.jica.go.jp/nepal/english/activities/education.html#01'
(JPP) Project for Promotion of Maternal and Child Health through Community Empowerment [Association of Medical Doctors of Asia (AMDA-Minds)],'https://www.jica.go.jp/nepal/english/activities/health.html#02'
(LA) Melamchi Water Supply Project (Water Treatment Plant),"'https://www.jica.go.jp/nepal/english/activities/water.html#01', 'https://www.jica.go.jp/nepal/english/activities/water.html#02'"
(TCP) Participatory Watershed Management and Local Governance Project,'https://www.jica.go.jp/nepal/english/activities/governance.html#01'
"State Building Support: ""Study Tour and Orientation on Constitution Making and Management of Parliament""","'https://www.jica.go.jp/nepal/english/activities/peace.html#01', 'https://www.jica.go.jp/nepal/english/activities/peace.html#02', 'https://www.jica.go.jp/nepal/english/activities/peace.html#03', 'https://www.jica.go.jp/nepal/english/activities/peace.html#04', 'https://www.jica.go.jp/nepal/english/activities/peace.html#05'"
(TCP) The Project for the Operation and Maintenance of Sindhuli Road,"'https://www.jica.go.jp/nepal/english/activities/transportation.html#01', 'https://www.jica.go.jp/nepal/english/activities/transportation.html#02'"
(TCP) Nationwide Master Plan Study on the storage type hydroelectric power development in Nepal,'https://www.jica.go.jp/nepal/english/activities/energy.html'
(TCP) The Project for the Master Plan Study on High Value Agriculture Extension and Promotion in Sindhuli Corridor,"'https://www.jica.go.jp/nepal/english/activities/agriculture.html#01', 'https://www.jica.go.jp/nepal/english/activities/agriculture.html#02'"
(TCP) Gender Mainstreaming and Social Inclusion Project (GeMSIP),"'https://www.jica.go.jp/nepal/english/activities/gender.html#01', 'https://www.jica.go.jp/nepal/english/activities/gender.html#02'"
(GA) Project for the Introduction of Clean Energy by Solar Electricity Generation System,"'https://www.jica.go.jp/nepal/english/activities/management.html#01', 'https://www.jica.go.jp/nepal/english/activities/management.html#02'"
Japan/JICA NPPR Background Paper (FY2010) (PDF/531KB),'https://www.jica.go.jp/nepal/english/activities/pdf/background-paper.pdf'
Map of JICA Major Projects in Nepal (PDF/51KB),'https://libportal.jica.go.jp/fmi/xsl/library/Data/PlanInOperation-e/EastSouthAsia/060_Nepal-e.pdf'
